pct_id,recognized_n,majority_choice,majority_share,unanimous
pc-01,10,4) strongly agree,1.0,True
pc-02,10,4) strongly agree,1.0,True
pc-03,10,4) strongly agree,0.9,False
pc-04,10,4) strongly agree,1.0,True
pc-05,10,4) strongly agree,1.0,True
pc-06,10,4) strongly agree,1.0,True
pc-07,10,1) strongly disagree,0.6,False
pc-08,10,4) strongly agree,1.0,True
pc-09,10,4) strongly agree,1.0,True
pc-10,10,4) strongly agree,1.0,True
pc-11,10,4) strongly agree,1.0,True
pc-12,10,4) strongly agree,1.0,True
pc-13,10,4) strongly agree,0.8,False
pc-14,10,4) strongly agree,1.0,True
pc-15,10,4) strongly agree,0.9,False
pc-16,10,4) strongly agree,1.0,True
pc-17,10,4) strongly agree,1.0,True
pc-18,10,4) strongly agree,0.8,False
pc-19,10,4) strongly agree,1.0,True
pc-20,10,4) strongly agree,1.0,True
pc-21,10,4) strongly agree,1.0,True
pc-22,10,4) strongly agree,1.0,True
pc-23,10,4) strongly agree,1.0,True
pc-24,10,4) strongly agree,1.0,True
pc-25,10,4) strongly agree,1.0,True
pc-26,10,4) strongly agree,1.0,True
pc-27,10,4) strongly agree,1.0,True
pc-28,10,4) strongly agree,1.0,True
pc-29,10,4) strongly agree,1.0,True
pc-30,10,4) strongly agree,1.0,True
pc-31,10,4) strongly agree,1.0,True
pc-32,10,4) strongly agree,1.0,True
pc-33,10,4) strongly agree,1.0,True
pc-34,10,4) strongly agree,1.0,True
pc-35,10,4) strongly agree,1.0,True
pc-36,10,4) strongly agree,0.9,False
pc-37,10,4) strongly agree,1.0,True
pc-38,10,4) strongly agree,1.0,True
pc-39,10,4) strongly agree,1.0,True
pc-40,10,4) strongly agree,0.5,False
pc-41,10,4) strongly agree,1.0,True
pc-42,10,4) strongly agree,1.0,True
pc-43,10,4) strongly agree,1.0,True
pc-44,10,4) strongly agree,1.0,True
pc-45,10,4) strongly agree,1.0,True
pc-46,10,4) strongly agree,1.0,True
pc-47,10,4) strongly agree,0.9,False
pc-48,10,4) strongly agree,1.0,True
pc-49,10,4) strongly agree,1.0,True
pc-50,10,4) strongly agree,0.9,False
pc-51,10,4) strongly agree,0.8,False
pc-52,10,4) strongly agree,1.0,True
pc-53,10,4) strongly agree,1.0,True
pc-54,10,4) strongly agree,1.0,True
pc-55,10,4) strongly agree,1.0,True
pc-56,10,4) strongly agree,1.0,True
pc-57,10,4) strongly agree,1.0,True
pc-58,10,4) strongly agree,1.0,True
pc-59,10,4) strongly agree,1.0,True
pc-60,10,4) strongly agree,1.0,True
pc-61,10,4) strongly agree,1.0,True
pc-62,10,4) strongly agree,0.5,False
