pct_id,recognized_n,majority_choice,majority_share,unanimous
pc-1,1,4) strongly agree,1.0,True
pc-2,1,4) strongly agree,1.0,True
pc-3,1,4) strongly agree,1.0,True
pc-4,1,4) strongly agree,1.0,True
pc-5,1,4) strongly agree,1.0,True
pc-6,1,4) strongly agree,1.0,True
pc-7,1,4) strongly agree,1.0,True
pc-8,1,4) strongly agree,1.0,True
pc-9,1,4) strongly agree,1.0,True
pc-10,1,4) strongly agree,1.0,True
pc-11,1,4) strongly agree,1.0,True
pc-12,1,4) strongly agree,1.0,True
pc-13,1,4) strongly agree,1.0,True
pc-14,1,4) strongly agree,1.0,True
pc-15,1,4) strongly agree,1.0,True
pc-16,1,4) strongly agree,1.0,True
pc-17,1,4) strongly agree,1.0,True
pc-18,1,4) strongly agree,1.0,True
pc-19,1,4) strongly agree,1.0,True
pc-20,1,4) strongly agree,1.0,True
pc-21,1,4) strongly agree,1.0,True
pc-22,1,4) strongly agree,1.0,True
pc-23,1,4) strongly agree,1.0,True
pc-24,1,4) strongly agree,1.0,True
pc-25,1,4) strongly agree,1.0,True
pc-26,1,4) strongly agree,1.0,True
pc-27,1,4) strongly agree,1.0,True
pc-28,1,4) strongly agree,1.0,True
pc-29,1,4) strongly agree,1.0,True
pc-30,1,4) strongly agree,1.0,True
pc-31,1,4) strongly agree,1.0,True
pc-32,1,4) strongly agree,1.0,True
pc-33,1,4) strongly agree,1.0,True
pc-34,1,2) disagree,1.0,True
pc-35,1,4) strongly agree,1.0,True
pc-36,1,4) strongly agree,1.0,True
pc-37,1,4) strongly agree,1.0,True
pc-38,1,4) strongly agree,1.0,True
pc-39,1,4) strongly agree,1.0,True
pc-40,1,4) strongly agree,1.0,True
pc-41,1,4) strongly agree,1.0,True
pc-42,1,4) strongly agree,1.0,True
pc-43,1,4) strongly agree,1.0,True
pc-44,1,4) strongly agree,1.0,True
pc-45,1,4) strongly agree,1.0,True
pc-46,1,4) strongly agree,1.0,True
pc-47,1,4) strongly agree,1.0,True
pc-48,1,4) strongly agree,1.0,True
pc-49,1,4) strongly agree,1.0,True
pc-50,1,4) strongly agree,1.0,True
pc-51,1,3) agree,1.0,True
pc-52,1,4) strongly agree,1.0,True
pc-53,1,4) strongly agree,1.0,True
pc-54,1,4) strongly agree,1.0,True
pc-55,1,4) strongly agree,1.0,True
pc-56,1,4) strongly agree,1.0,True
pc-57,1,4) strongly agree,1.0,True
pc-58,1,4) strongly agree,1.0,True
pc-59,1,4) strongly agree,1.0,True
pc-60,1,4) strongly agree,1.0,True
pc-61,1,4) strongly agree,1.0,True
pc-62,1,4) strongly agree,1.0,True
